cell_id,table_group,claim_id,inference_family_id,strategy,weight_vector,capacity_ratio,blackout_policy,approver_policy,label_source,epss_era,catalog_strictness,ablation,n_seeds,t0_window_set,reuse_of_cell_id,run_status,rationale,primary_metric,secondary_metrics,diagnostic_metrics
P-random-na,primary,CLM-B1,B1,random,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,baseline strategy at central settings; supplies random baseline for B1/B3/C2,ehd_absolute,eehda_relative;fraction_of_oracle;rank_churn;capacity_efficiency;scheduler_feasibility,precision_at_k;recall_at_k;ndcg_at_k;kev_deadline_breach_rate;risk_acceptance_rate;imputation_rate
P-cvss_only-na,primary,CLM-B1,B1,cvss_only,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,baseline strategy at central settings; supplies CVSS baseline for B1,ehd_absolute,eehda_relative;fraction_of_oracle;rank_churn;capacity_efficiency;scheduler_feasibility,precision_at_k;recall_at_k;ndcg_at_k;kev_deadline_breach_rate;risk_acceptance_rate;imputation_rate
P-epss_only-na,primary,CLM-B1,B1,epss_only,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,CENTRAL BASELINE for CLM-B1 / CLM-B2 (ΔEHD denominator) and reused across capacity / blackout / ablation tables,ehd_absolute,eehda_relative;fraction_of_oracle;rank_churn;capacity_efficiency;scheduler_feasibility,precision_at_k;recall_at_k;ndcg_at_k;kev_deadline_breach_rate;risk_acceptance_rate;imputation_rate
P-kev_first-na,primary,CLM-B1,B1,kev_first,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,baseline strategy; paired-Δ vs epss_only was identically zero under Paper-1 fixtures (SM-1 auto-drop if Paper-2 reproduces); kept to confirm or refute under real feeds,ehd_absolute,eehda_relative;fraction_of_oracle;rank_churn;capacity_efficiency;scheduler_feasibility,precision_at_k;recall_at_k;ndcg_at_k;kev_deadline_breach_rate;risk_acceptance_rate;imputation_rate
P-cvss_x_epss-na,primary,CLM-B1,B1,cvss_x_epss,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,baseline composite strategy at central settings for B1,ehd_absolute,eehda_relative;fraction_of_oracle;rank_churn;capacity_efficiency;scheduler_feasibility,precision_at_k;recall_at_k;ndcg_at_k;kev_deadline_breach_rate;risk_acceptance_rate;imputation_rate
P-cvss_plus_epss_plus_kev-na,primary,CLM-B1,B1,cvss_plus_epss_plus_kev,na,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,baseline composite strategy at central settings for B1 and reused for capacity sweep,ehd_absolute,eehda_relative;fraction_of_oracle;rank_churn;capacity_efficiency;scheduler_feasibility,precision_at_k;recall_at_k;ndcg_at_k;kev_deadline_breach_rate;risk_acceptance_rate;imputation_rate
P-proposed-w_uniform,primary,CLM-B1+CLM-C1,B1+C1,proposed_fixed_prior,w_uniform,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,fixed-prior cell #1 at central settings; supplies CLM-C1 weight-vector sensitivity comparison + paired ΔEHD vs epss_only,ehd_absolute,eehda_relative;fraction_of_oracle;rank_churn;capacity_efficiency;scheduler_feasibility,precision_at_k;recall_at_k;ndcg_at_k;kev_deadline_breach_rate;risk_acceptance_rate;imputation_rate
P-proposed-w_paper1_placeholder,primary,CLM-B1+CLM-C1,B1+C1,proposed_fixed_prior,w_paper1_placeholder,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,fixed-prior cell #2 (= Paper-1 placeholder w_hand) at central settings; CLM-C1 + reused across capacity / blackout / ablation tables,ehd_absolute,eehda_relative;fraction_of_oracle;rank_churn;capacity_efficiency;scheduler_feasibility,precision_at_k;recall_at_k;ndcg_at_k;kev_deadline_breach_rate;risk_acceptance_rate;imputation_rate
P-proposed-w_epss_dominant,primary,CLM-B1+CLM-C1,B1+C1,proposed_fixed_prior,w_epss_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,fixed-prior cell #3 at central settings; CLM-C1 + reused for capacity sweep,ehd_absolute,eehda_relative;fraction_of_oracle;rank_churn;capacity_efficiency;scheduler_feasibility,precision_at_k;recall_at_k;ndcg_at_k;kev_deadline_breach_rate;risk_acceptance_rate;imputation_rate
P-proposed-w_cvss_dominant,primary,CLM-B1+CLM-C1,B1+C1,proposed_fixed_prior,w_cvss_dominant,0.01,primary,A,label_a_kev_only,v3,cpe_exact_existing31,full,30,monthly_18_2023_09_to_2025_02,,planned,fixed-prior cell #4 at central settings; CLM-C1,ehd_absolute,eehda_relative;fraction_of_oracle;rank_churn;capacity_efficiency;scheduler_feasibility,precision_at_k;recall_at_k;ndcg_at_k;kev_deadline_breach_rate;risk_acceptance_rate;imputation_rate
